,WS_1,WS_50,WS_100,WS_150,WS_200,WD_1,WD_50,WD_100,WD_150,WD_200,,,SO_power_imbalance
1/1/2012 0:00,1.8784,5.079,6.8026,8.1914,8.3616,163.2749487,166.8878977,170.5735363,179.0672286,181.6892832,,,343.0621668
1/1/2012 1:00,2.0481,5.5318,7.3766,9.0888,9.3292,166.3350179,170.3653116,174.4806645,181.7799346,184.472472,,,837.2639893
1/1/2012 2:00,2.2323,5.7341,7.569,9.1873,9.5974,168.6746613,172.2646436,175.9297168,181.4956207,184.134709,,,1162.99666
1/1/2012 3:00,2.6305,6.1747,8.0294,9.5571,10.0232,176.7051441,179.3923662,182.1395766,185.4649149,187.9600712,,,1501.027422
1/1/2012 4:00,3.319,6.8482,8.6926,10.2036,10.6884,188.3957933,190.4830278,192.6082726,195.2514133,197.96617,,,1669.558255
1/1/2012 5:00,3.5561,7.0969,8.9478,10.4059,10.9191,203.1703136,205.3214714,207.5157869,210.5102488,213.4960375,,,1797.700144
1/1/2012 6:00,3.2575,6.846,8.7203,10.2399,10.7342,219.7833349,221.6865213,223.6254124,226.4895217,229.3875021,,,1519.380705
1/1/2012 7:00,3.1202,6.8349,8.7746,10.3349,10.8503,234.4285869,236.3889024,238.3847215,241.1562183,243.5131853,,,1298.42953
1/1/2012 8:00,2.8906,6.7018,8.6919,10.3085,10.8495,238.928469,240.8331129,242.7789852,245.6283565,247.8099972,,,932.0679404
1/1/2012 9:00,3.5772,7.3569,9.3308,10.9464,11.5002,237.9929194,239.6666812,241.3793158,243.8891596,245.714567,,,543.7557661
1/1/2012 10:00,4.3535,7.5572,9.2436,10.5278,10.9849,236.638281,238.1911566,239.7708625,242.4212156,244.1049381,,,669.3807441
1/1/2012 11:00,4.7588,8.0068,9.7261,11.3926,11.7724,233.1502624,234.8761027,236.6349024,239.2254941,240.8132239,,,615.3472317
1/1/2012 12:00,5.1792,8.35,10.0317,11.2817,11.6832,229.3545036,230.8954477,232.4697214,234.482499,236.0589479,,,641.1505644
1/1/2012 13:00,3.84,7.0565,8.7643,9.8217,10.2978,229.5018164,231.0317406,232.5964124,234.3211898,235.7251105,,,715.6865088
1/1/2012 14:00,3.4488,6.7293,8.466,9.568,10.0292,229.7711012,231.3054053,232.8747216,234.6220436,235.9797313,,,454.4756337
1/1/2012 15:00,2.8612,6.4006,8.2593,9.476,10.0489,227.8728956,229.7555653,231.6788952,233.6731413,235.0666153,,,98.97203198
1/1/2012 16:00,2.7374,6.4094,8.3379,9.6886,10.2677,216.7802199,219.3235187,221.9188366,224.5590076,226.5010832,,,-111.4491162
1/1/2012 17:00,2.4987,6.1043,7.993,9.2957,9.8863,210.0070008,212.3607839,214.756965,217.395337,219.459989,,,-338.2922549
1/1/2012 18:00,2.4309,6.0076,7.8835,9.236,9.7547,206.6945131,208.7357869,210.8194842,213.091761,215.0477024,,,-388.5829138
1/1/2012 19:00,2.0191,5.6279,7.5219,8.8392,9.3142,205.544813,207.4067446,209.3053017,211.6014384,214.0300029,,,-437.2200877
1/1/2012 20:00,1.7771,5.3368,7.2076,8.4929,8.9613,202.9159347,204.9492337,207.0257874,209.3204472,212.0683275,,,-211.8150251
1/1/2012 21:00,3.2533,6.6759,8.4762,9.6304,10.1799,198.7477376,200.7462149,202.7891017,204.9901249,207.8610784,,,135.1397443
1/1/2012 22:00,3.3154,6.4257,8.0722,8.9274,9.56,194.0905989,196.2489933,198.4557473,200.3693288,203.7616852,,,195.0533044
1/1/2012 23:00,3.817,6.9107,8.5477,9.3608,10.0112,199.5305788,201.1622035,202.8321424,204.4077801,207.3520507,,,99.25411754
1/2/2012 0:00,3.9342,7.1012,8.7745,9.6023,10.2581,209.3831602,210.9091641,212.4600795,214.1871676,217.1352819,,,2.257091904
1/2/2012 1:00,3.3048,6.6204,8.3697,9.2234,9.9074,222.3323877,223.5335568,224.7623355,226.0141622,228.5274104,,,-199.9928636
1/2/2012 2:00,3.5798,6.9372,8.7053,9.5874,10.3022,239.4544453,240.7001311,241.9716861,243.2756643,245.2576184,,,-213.4503259
1/2/2012 3:00,3.6709,7.1413,8.965,9.8621,10.6153,251.2783393,252.6751263,254.1043992,256.0353303,257.9302604,,,-203.8913474
1/2/2012 4:00,3.8125,7.4391,9.3456,10.301,11.1467,253.7018538,255.0011088,256.3274723,257.8569496,259.5080067,,,93.13104271
1/2/2012 5:00,3.7392,7.5782,9.5965,10.6038,11.5247,251.2936616,252.9173984,254.5720344,255.8217232,257.2348566,,,643.4652668
1/2/2012 6:00,3.8178,7.6949,9.7333,10.7394,11.7144,245.4578666,247.0845937,248.7416907,249.898641,251.2595075,,,676.7625802
1/2/2012 7:00,3.5258,7.5085,9.6035,10.6158,11.6053,244.7037064,245.8846605,247.092714,247.9449747,249.0271358,,,786.6143819
1/2/2012 8:00,3.2834,7.4071,9.5781,10.6222,11.6544,245.5517151,246.6827005,247.8324951,248.7663471,249.8269154,,,534.9524075
1/2/2012 9:00,5.2628,9.3891,11.5646,12.5995,13.651,246.6150043,247.7655649,248.938928,249.8795411,250.8950834,,,44.83245774
1/2/2012 10:00,5.7359,9.7427,11.8901,12.7129,13.4011,247.9112128,249.0870904,250.2849272,251.3149557,252.4331893,,,44.57689032
1/2/2012 11:00,5.2742,9.1954,11.2859,12.2282,13.0837,246.1972842,247.3815255,248.5901285,249.7506039,250.7739824,,,171.8568477
1/2/2012 12:00,5.5928,9.5934,11.7348,12.5416,13.3427,245.6878122,246.5444598,247.4251862,248.2825169,248.9746882,,,485.3229808
1/2/2012 13:00,4.1062,8.6655,11.0744,12.0629,13.0469,242.9980642,243.7611194,244.5411982,245.1679912,245.7536431,,,912.7528192
1/2/2012 14:00,3.7924,8.2683,10.6332,11.5424,12.5574,239.9144409,240.6738723,241.4446209,242.0638075,242.5860595,,,872.737074
1/2/2012 15:00,3.5429,7.927,10.2386,11.1195,12.2277,240.5153242,241.0375639,241.572955,242.1101258,242.4196203,,,762.0509656
1/2/2012 16:00,3.8239,8.4019,10.8166,11.7238,12.8958,238.8173236,239.4758754,240.1457469,240.9366563,241.3181016,,,546.2357385
1/2/2012 17:00,5.5859,10.2279,12.6811,13.5872,14.7995,237.6131525,238.1305041,238.6611756,239.4974514,239.9822843,,,416.7499643
1/2/2012 18:00,5.9413,10.6417,13.126,14.0016,15.2535,239.0907156,239.4650521,239.8503038,240.9469744,241.5085398,,,467.4687051
1/2/2012 19:00,6.316,11.0807,13.5985,14.4595,15.79,242.2874099,242.4434382,242.6000548,243.5962359,243.9248989,,,394.6945948
1/2/2012 20:00,6.7165,11.6019,14.1808,15.0386,16.4443,241.547675,241.9907203,242.4479129,243.4704721,243.8112543,,,325.2711396
1/2/2012 21:00,5.3569,10.3335,12.9618,13.7801,15.2478,238.6855236,239.4758724,240.285039,241.5456137,242.0171919,,,-45.96792034
1/2/2012 22:00,5.3832,10.4441,13.1166,13.9246,15.4321,233.6255903,234.8692171,236.1354009,237.9031798,238.5734205,,,-194.0204362
1/2/2012 23:00,4.6859,9.6872,12.3301,13.0457,14.5868,230.9206698,231.9544421,233.014255,234.604284,235.1729587,,,-40.26936742
1/3/2012 0:00,4.9897,10.0097,12.6615,13.3293,14.9859,229.2435706,230.3267389,231.4308803,232.7157023,233.3382175,,,255.1530955
1/3/2012 1:00,5.4452,10.4631,13.1113,13.6939,15.507,230.4338373,231.4783766,232.5450191,233.8782996,234.4394066,,,636.2858322
1/3/2012 2:00,5.2911,10.2351,12.8435,13.3198,15.2746,227.8886212,229.0875574,230.3099402,231.7544401,232.3597469,,,887.3068685
1/3/2012 3:00,5.0884,10.0125,12.6075,12.981,15.0324,223.1914958,224.1841009,225.2018757,226.5639499,227.1865857,,,1236.046907
1/3/2012 4:00,4.5276,9.3821,11.9368,12.3173,14.3962,220.3813852,221.2229557,222.0824168,223.6823053,224.232752,,,1150.664443
1/3/2012 5:00,4.4043,9.1413,11.6317,12.0438,14.0694,212.8405771,214.3406323,215.8710055,217.3379338,218.1366499,,,976.9730889
1/3/2012 6:00,4.4444,9.103,11.5457,12.0089,14.0334,208.5473376,209.8551623,211.1848833,212.8136493,213.6063845,,,953.6789097
1/3/2012 7:00,4.1719,8.6716,11.0321,11.4051,13.3437,196.7455146,198.3899282,200.0671146,201.7097235,202.7689336,,,818.9327527
1/3/2012 8:00,3.3522,6.8823,8.7343,8.9511,10.3888,189.6945509,190.9340885,192.2032398,193.5060183,194.5367545,,,736.1569318
1/3/2012 9:00,2.5956,5.7981,7.4713,7.7239,8.9271,182.8102032,183.9208402,185.0570097,185.8713294,187.1774818,,,532.6100387
1/3/2012 10:00,1.9767,4.8359,6.3295,6.6837,7.7205,179.7786673,180.9463967,182.1404159,183.2991805,184.2765629,,,279.4411542
1/3/2012 11:00,2.1943,5.0557,6.5505,6.9128,7.9287,170.482568,171.4581508,172.4570113,173.5267404,174.8728431,,,198.3275366
1/3/2012 12:00,2.5102,5.6062,7.2257,7.6178,8.6546,167.7346589,169.2438025,170.7850584,173.7741463,175.5650794,,,107.5679675
1/3/2012 13:00,3.1731,6.2166,7.8049,8.1843,9.1788,185.8186083,187.5385387,189.2914841,192.7901631,194.4310485,,,156.0353608
1/3/2012 14:00,3.5654,6.9866,8.7723,9.203,10.2773,207.3638395,208.6367271,209.9334662,211.949614,212.7911238,,,311.7636744
1/3/2012 15:00,3.9926,7.72,9.6661,10.174,11.3047,227.5795997,228.2474413,228.9248213,230.7108158,231.2194956,,,367.1922524
1/3/2012 16:00,4.3981,8.3477,10.415,10.9679,12.0831,229.2207801,230.2310201,231.2619565,232.7058437,233.2290156,,,382.0410811
1/3/2012 17:00,3.8177,7.8662,9.9905,10.6005,11.719,223.8462901,224.6770303,225.5179187,226.3296123,226.8879046,,,20.64186636
1/3/2012 18:00,3.6876,7.8734,10.066,10.7176,11.8712,232.8040012,233.1524832,233.5095271,234.1989987,234.4581308,,,-326.1187953
1/3/2012 19:00,3.9729,8.3564,10.6552,11.3357,12.5012,235.4258213,236.0685,236.7179539,237.2354634,237.5595411,,,-408.863319
1/3/2012 20:00,4.6596,9.2583,11.6737,12.4005,13.6054,236.3621201,237.035477,237.728126,238.7703572,239.1909969,,,-446.2222196
1/3/2012 21:00,5.57,10.4231,12.9763,13.7579,15.0021,240.8949116,241.7013545,242.5251935,243.7412705,244.2073317,,,-485.278224
1/3/2012 22:00,6.3148,11.7538,14.6224,15.5495,16.9229,243.7614931,244.4670547,245.182619,246.28905,246.7022405,,,-565.9841524
1/3/2012 23:00,6.8685,12.6111,15.6479,16.5868,17.9897,250.7312834,251.3485626,251.9814484,252.7850012,253.1741856,,,-358.9706649
1/4/2012 0:00,6.7626,12.3924,15.3661,16.2699,17.6653,257.4807925,257.9523089,258.4400246,259.1872495,259.4912672,,,-121.6134301
1/4/2012 1:00,5.8644,11.6734,14.7526,15.7068,17.1451,262.4274495,262.8897264,263.3640468,263.9833847,264.3050573,,,-199.2372567
1/4/2012 2:00,5.22,10.8546,13.8378,14.8002,16.2295,265.123904,265.6506389,266.1895062,266.8027839,267.168832,,,-298.8412432
1/4/2012 3:00,4.4077,9.5331,12.2426,12.9822,14.2911,267.4927909,268.0328039,268.5783902,269.1673982,269.5633297,,,-256.9298646
1/4/2012 4:00,3.3833,8.1555,10.672,11.2964,12.5571,270.5230742,271.0471039,271.5879724,272.1669255,272.584462,,,-230.7195759
1/4/2012 5:00,4.6756,9.4538,11.9738,12.6164,13.8911,275.5983318,276.0453218,276.5011224,277.208008,277.6526344,,,-303.6515123
1/4/2012 6:00,4.187,8.8509,11.3123,11.8865,13.1192,280.856582,281.343814,281.844819,282.8100463,283.4084015,,,-308.1013948
1/4/2012 7:00,4.2558,9.045,11.5761,12.233,13.4902,285.7056524,286.1667592,286.6357869,287.7983637,288.4529085,,,-197.6731615
1/4/2012 8:00,3.6735,7.8753,10.0991,10.4336,11.3511,283.7803235,284.3998554,285.0294901,286.3245642,287.1501908,,,-11.67274842
1/4/2012 9:00,4.4954,8.7903,11.0419,11.5377,12.65,282.5276797,283.0539078,283.5868044,284.3892887,285.0577193,,,35.93017798
1/4/2012 10:00,4.7468,8.9718,11.1893,11.9385,13.0491,286.2783564,286.6669514,287.0676575,287.5496252,288.0232946,,,32.93574793
1/4/2012 11:00,5.3205,9.7163,12.0342,12.8612,13.9231,286.2631882,286.73572,287.220216,287.8239949,288.4854258,,,26.28512082
1/4/2012 12:00,5.9447,10.3569,12.6898,13.5116,14.5244,279.8783916,280.612866,281.3604587,282.0917397,282.6115842,,,19.20357964
1/4/2012 13:00,4.5627,8.9924,11.3309,12.1998,13.1623,273.8227724,274.3163706,274.820303,275.3159974,275.7769952,,,11.09389283
1/4/2012 14:00,4.568,8.9456,11.2504,12.1643,13.0921,270.7088991,271.2693497,271.8409443,272.2969157,272.7544313,,,1.533733668
1/4/2012 15:00,4.1417,8.4886,10.7662,11.8011,12.7352,268.6018403,269.1013678,269.6106713,270.1397368,270.6010622,,,12.04781539
1/4/2012 16:00,4.5076,8.8637,11.1458,12.3144,13.2162,265.0952097,265.6464073,266.2104323,266.725325,267.1080997,,,19.48252567
1/4/2012 17:00,4.6913,9.0051,11.2644,12.5421,13.4182,258.7012121,259.2055038,259.7153143,260.4176681,260.9548345,,,23.36254219
1/4/2012 18:00,4.6095,8.8442,11.06,12.4166,13.2858,256.0757263,256.470755,256.8736014,257.889756,258.9657432,,,100.3995628
1/4/2012 19:00,3.9929,8.1464,10.3171,11.734,12.5819,256.3567182,256.9227008,257.5006819,258.3456394,259.076909,,,246.1149238
1/4/2012 20:00,3.3506,7.3294,9.4092,10.8322,11.6735,254.7177732,255.2513368,255.8008135,256.6425009,257.2334221,,,397.6371158
1/4/2012 21:00,2.6255,6.3025,8.2239,9.5542,10.353,252.2577894,252.9963732,253.7487829,254.7258551,255.2221744,,,210.9498711
1/4/2012 22:00,1.6804,4.8756,6.573,7.7747,8.3996,240.2380267,240.9457691,241.6653472,242.1967766,242.6251482,,,-181.8775731
1/4/2012 23:00,1.0869,3.9801,5.5505,6.6812,7.2732,238.4806959,239.1991856,239.931072,240.9897116,241.5278886,,,-138.0115161
1/5/2012 0:00,0.7304,3.4265,4.9185,5.985,6.4574,240.8176885,241.8071098,242.8151904,243.9894499,244.5043222,,,119.3263438
1/5/2012 1:00,1.00E-10,2.1781,3.4927,4.422,4.7782,243.837705,244.5118745,245.2038547,246.835527,247.3613566,,,177.1194938
1/5/2012 2:00,1.00E-10,1.2375,2.3393,2.9907,3.2206,227.4465968,228.5476564,229.6742803,230.1165703,231.2711772,,,111.0873218
1/5/2012 3:00,1.00E-10,1.2503,2.5304,3.1449,3.3022,220.5348519,222.2043795,223.9076568,222.550768,225.7806923,,,80.75123978
1/5/2012 4:00,1.00E-10,1.0759,2.4587,3.3305,3.5035,268.1473674,269.0190395,269.9100218,272.2749663,273.9334574,,,38.44395661
1/5/2012 5:00,1.6215,4.1068,5.437,6.3542,6.5628,287.5085034,289.131775,290.7844299,292.73894,294.0822383,,,41.31747211
1/5/2012 6:00,1.8206,4.3822,5.7322,6.6066,6.8881,294.2824332,294.7635963,295.2555581,296.2275551,296.5844315,,,107.3467169
1/5/2012 7:00,2.2601,5.1901,6.7229,7.9085,8.3697,290.9783482,291.7504419,292.5396796,293.5130058,293.9385021,,,132.039755
1/5/2012 8:00,2.6834,5.9548,7.6631,9.0636,9.6624,282.511332,283.7133196,284.9400524,286.2569204,287.1890391,,,-155.280307
