,WS_1,WS_50,WS_100,WS_150,WS_200,WD_1,WD_50,WD_100,WD_150,WD_200,,,SO_power_imbalance
1/1/2012 0:00,1.7844,3.4108,3.9602,4.0199,4.334,232.6136508,234.0278932,235.4778993,237.6694785,239.7099776,,,119.0755831
1/1/2012 1:00,1.5627,3.262,3.8416,3.879,4.1537,228.8306321,230.251849,231.7028117,233.5987065,235.6920924,,,193.5929006
1/1/2012 2:00,1.2915,3.1827,3.8438,3.8326,4.0637,224.0310772,225.6214131,227.2459157,229.6161859,232.0753449,,,-182.9949918
1/1/2012 3:00,1.6324,3.5683,4.2435,4.1666,4.3313,224.3870074,225.9405334,227.5269259,229.8457994,232.3141744,,,-465.3847663
1/1/2012 4:00,1.8521,4.0101,4.8097,4.76,4.8822,226.4696964,227.9430624,229.4440764,231.6355273,233.9394074,,,-63.90190254
1/1/2012 5:00,1.8066,4.2266,5.1701,5.1859,5.3674,226.851219,228.6038955,230.3941708,232.8539336,235.1726852,,,338.7143687
1/1/2012 6:00,1.5977,3.8058,4.6313,4.7756,5.0545,225.0978315,227.0248244,228.9877016,231.6200492,234.1183166,,,262.1685798
1/1/2012 7:00,1.079,3.2613,4.1321,4.3336,4.6372,220.1335967,222.0379961,223.9801147,226.8758635,229.6180414,,,365.5139274
1/1/2012 8:00,0.3457,2.6313,3.7831,3.8824,4.1311,215.1389745,216.8774603,218.6488599,221.5361967,224.2530231,,,470.8062737
1/1/2012 9:00,1.5018,3.787,4.7051,4.5872,4.7052,211.6443446,213.3336247,215.0592583,218.0110746,220.5782901,,,688.1613878
1/1/2012 10:00,1.9065,4.0548,4.9801,4.6206,4.5744,207.0654316,209.00878,210.9922345,213.7083671,215.9989123,,,1045.42722
1/1/2012 11:00,2.6577,3.3865,3.6229,4.0361,4.2718,206.0770542,207.6467296,209.2426187,211.6114065,213.5785525,,,1034.720424
1/1/2012 12:00,3.1833,4.0483,4.3294,4.5638,4.7103,207.2812379,209.7337557,212.2353784,214.861684,216.6723548,,,503.4331615
1/1/2012 13:00,1.9097,3.1682,3.5789,3.679,3.7306,210.0740823,211.825363,213.6185294,216.1479254,217.6943619,,,463.1123227
1/1/2012 14:00,1.6948,3.0788,3.5329,3.6033,3.6772,209.6733815,211.3122099,212.9849575,216.0101862,217.6565658,,,759.0308158
1/1/2012 15:00,0.0596,1.722,2.4343,2.7365,2.9166,213.4388897,214.4534544,215.4854983,217.8322979,219.0957941,,,751.9148118
1/1/2012 16:00,0.6679,1.9996,2.4411,2.593,2.7676,211.7162878,212.5926276,213.4907431,215.6954553,216.7310851,,,283.3783947
1/1/2012 17:00,0.3694,2.0682,2.675,2.8471,3.0012,211.732709,212.42342,213.1317245,214.9220536,215.8161635,,,-83.44703605
1/1/2012 18:00,0.4808,1.9401,2.4325,2.6379,2.8079,227.0441052,227.3202676,227.5960724,228.6620251,229.5475009,,,141.7711604
1/1/2012 19:00,0.0249,1.389,1.8416,2.0591,2.2421,254.7513316,255.6404684,256.5389671,258.8913047,259.916688,,,277.6666745
1/1/2012 20:00,1.00E-10,1.0562,1.4888,1.7531,1.9286,245.6357216,247.8537948,250.1154382,251.673965,253.0511413,,,-67.21001158
1/1/2012 21:00,0.9526,2.2785,2.737,2.9982,3.1695,235.5856294,236.615771,237.6664698,238.8643842,239.9240163,,,-609.2880477
