,WS_1,WS_50,WS_100,WS_150,WS_200,WD_1,WD_50,WD_100,WD_150,WD_200,,,SO_power_imbalance
1/1/2012 0:00,1.1943,1.7824,5.8545,5.3424,6.2136,209.0287601,212.3995468,215.83808,222.7973475,226.0650215,,,-497.1497554
1/1/2012 1:00,0.668,2.0319,6.1036,5.5063,5.8403,212.9366171,216.3892583,219.9116934,225.8861682,228.5413663,,,-1131.642846
1/1/2012 2:00,0.6683,2.9328,5.855,5.1159,5.1389,211.6641341,215.1823915,218.7687277,223.9105273,226.4580197,,,-1394.045753
1/1/2012 3:00,0.8648,3.2282,5.3833,4.4867,4.9951,211.5291386,214.763294,218.0624591,223.2463215,225.5918484,,,-722.497539
1/1/2012 4:00,1.335,3.3985,5.1008,4.1445,5.11,215.5111784,218.0211277,220.5768792,224.9550129,226.879442,,,-76.14605548
1/1/2012 5:00,1.8957,3.8091,4.8458,3.8912,4.6411,220.0634677,222.1610666,224.303591,228.0569424,229.6391191,,,29.35787507
1/1/2012 6:00,1.8173,3.6888,4.3378,3.3225,3.6082,223.4941608,225.6224981,227.7972095,231.3308077,232.8116641,,,-539.8734095
1/1/2012 7:00,1.3553,3.2901,3.895,2.7438,2.9386,227.2774865,229.5338163,231.8383272,235.2679539,236.7653505,,,-983.0534318
1/1/2012 8:00,1.0221,2.9804,3.5036,2.4138,2.764,232.9517397,235.2318381,237.5567177,240.7860355,242.3018765,,,-353.3395113
1/1/2012 9:00,1.7546,3.581,3.0183,2.0855,3.7501,236.1520699,238.2159964,240.3235799,243.6169454,245.1306251,,,288.8453771
1/1/2012 10:00,2.6506,3.8249,2.856,1.9463,4.6526,242.2159133,243.6618856,245.1378016,247.9983207,249.3516467,,,36.37258892
1/1/2012 11:00,2.9075,4.1104,3.3018,3.0845,6.3647,236.7588099,238.3114821,239.8958249,242.6952809,244.0509618,,,-13.61583032
1/1/2012 12:00,3.4447,4.6809,3.1253,3.5474,7.441,230.4426216,231.6897985,232.9588092,235.7766617,237.0042495,,,240.9401757
1/1/2012 13:00,2.0621,3.3249,3.8097,4.0029,5.9906,224.8996292,226.6052475,228.3420022,231.2607642,232.506242,,,659.1072145
1/1/2012 14:00,1.4641,2.9548,3.5319,3.801,5.5701,223.3996185,224.8903142,226.4103813,229.0864084,230.3415791,,,238.8351537
1/1/2012 15:00,0.5522,3.0424,4.384,4.4024,5.2494,219.690965,221.2003915,222.7458853,225.4852462,226.6880857,,,-151.9372684
1/1/2012 16:00,0.4885,3.5833,5.4785,5.1552,5.1787,211.1751372,212.6916046,214.2437889,217.7571932,219.0932919,,,-798.9506028
1/1/2012 17:00,0.6187,3.9555,6.0968,5.6033,5.4687,212.3723102,213.0432663,213.7272268,216.8461885,217.9287318,,,-2159.18862
1/1/2012 18:00,0.549,3.9867,6.5469,6.2409,5.9447,206.6401145,206.8305778,207.0191082,209.6122551,210.2450523,,,-2175.947547
1/1/2012 19:00,0.0528,3.6917,7.239,7.191,5.9974,186.1581321,187.498601,188.8619454,192.7366198,193.568907,,,-2304.525254
1/1/2012 20:00,0.000000001,3.7555,8.0459,8.1597,6.351,185.3157692,187.5590075,189.8504355,191.9940261,192.975622,,,-1879.358929
