time,DHI,DNI,GHI
1/1/2021 0:00,0,0,0
1/1/2021 1:00,0,0,0
1/1/2021 2:00,0,0,0
1/1/2021 3:00,0,0,0
1/1/2021 4:00,0,0,0
1/1/2021 5:00,0,0,0
1/1/2021 6:00,0,0,0
1/1/2021 7:00,0,0,0
1/1/2021 8:00,4.3214,0,4.3214
1/1/2021 9:00,19.1677,0.1665,19.1861
1/1/2021 10:00,41.0147,5.0241,41.8136
1/1/2021 11:00,48.4704,5.146,49.3005
1/1/2021 12:00,44.0662,1.0013,44.2235
1/1/2021 13:00,37.117,3.0306,37.4545
1/1/2021 14:00,18.3911,2.3176,18.6208
1/1/2021 15:00,3.0383,0,3.0383
1/1/2021 16:00,0,0,0
1/1/2021 17:00,0,0,0
1/1/2021 18:00,0,0,0
1/1/2021 19:00,0,0,0
1/1/2021 20:00,0,0,0
1/1/2021 21:00,0,0,0
1/1/2021 22:00,0,0,0
1/1/2021 23:00,0,0,0
1/2/2021 0:00,0,0,0
1/2/2021 1:00,0,0,0
1/2/2021 2:00,0,0,0
1/2/2021 3:00,0,0,0
1/2/2021 4:00,0,0,0
1/2/2021 5:00,0,0,0
1/2/2021 6:00,0,0,0
1/2/2021 7:00,0,0,0
1/2/2021 8:00,6.4818,5.1989,6.7573
1/2/2021 9:00,28.9094,58.2626,35.1484
1/2/2021 10:00,54.7961,80.9225,65.2763
1/2/2021 11:00,67.3348,49.766,75.7238
1/2/2021 12:00,66.7551,57.2543,76.1525
1/2/2021 13:00,51.6106,76.6853,61.2469
1/2/2021 14:00,24.4588,50.5211,28.957
1/2/2021 15:00,4.637,9.183,5.0239
1/2/2021 16:00,0,0,0
1/2/2021 17:00,0,0,0
1/2/2021 18:00,0,0,0
1/2/2021 19:00,0,0,0
1/2/2021 20:00,0,0,0
1/2/2021 21:00,0,0,0
1/2/2021 22:00,0,0,0
1/2/2021 23:00,0,0,0
1/3/2021 0:00,0,0,0
1/3/2021 1:00,0,0,0
1/3/2021 2:00,0,0,0
1/3/2021 3:00,0,0,0
1/3/2021 4:00,0,0,0
1/3/2021 5:00,0,0,0
1/3/2021 6:00,0,0,0
1/3/2021 7:00,0,0,0
1/3/2021 8:00,4.9361,0,4.9361
1/3/2021 9:00,26.5037,16.7979,28.4344
1/3/2021 10:00,55.3364,76.5268,67.0677
1/3/2021 11:00,70.8956,123.4829,92.0886
1/3/2021 12:00,68.7518,144.9626,92.9841
1/3/2021 13:00,50.9887,97.9058,65.5455
1/3/2021 14:00,23.3281,16.6972,25.0449
1/3/2021 15:00,3.9643,0,3.9643
1/3/2021 16:00,0,0,0
1/3/2021 17:00,0,0,0
1/3/2021 18:00,0,0,0
1/3/2021 19:00,0,0,0
1/3/2021 20:00,0,0,0
1/3/2021 21:00,0,0,0
1/3/2021 22:00,0,0,0
1/3/2021 23:00,0,0,0
1/4/2021 0:00,0,0,0
1/4/2021 1:00,0,0,0
1/4/2021 2:00,0,0,0
1/4/2021 3:00,0,0,0
1/4/2021 4:00,0,0,0
1/4/2021 5:00,0,0,0
1/4/2021 6:00,0,0,0
1/4/2021 7:00,0,0,0
