time,WS
1/1/2021 0:00,0.4695
1/1/2021 0:15,0.4971
1/1/2021 0:30,0.5247
1/1/2021 0:45,0.5522
1/1/2021 1:00,0.5798
1/1/2021 1:15,0.6383
1/1/2021 1:30,0.6968
1/1/2021 1:45,0.7553
1/1/2021 2:00,0.8138
1/1/2021 2:15,0.7967
1/1/2021 2:30,0.7795
1/1/2021 2:45,0.7624
1/1/2021 3:00,0.7452
1/1/2021 3:15,0.7349
1/1/2021 3:30,0.7247
1/1/2021 3:45,0.7144
1/1/2021 4:00,0.7041
1/1/2021 4:15,0.8078
1/1/2021 4:30,0.9115
1/1/2021 4:45,1.0153
1/1/2021 5:00,1.119
1/1/2021 5:15,1.2991
1/1/2021 5:30,1.4791
1/1/2021 5:45,1.6592
1/1/2021 6:00,1.8392
1/1/2021 6:15,1.9202
1/1/2021 6:30,2.0012
1/1/2021 6:45,2.0822
1/1/2021 7:00,2.1632
1/1/2021 7:15,2.1421
1/1/2021 7:30,2.121
1/1/2021 7:45,2.0999
1/1/2021 8:00,2.0789
1/1/2021 8:15,1.9691
1/1/2021 8:30,1.8593
1/1/2021 8:45,1.7494
1/1/2021 9:00,1.6396
1/1/2021 9:15,1.5401
1/1/2021 9:30,1.4405
1/1/2021 9:45,1.341
1/1/2021 10:00,1.2414
1/1/2021 10:15,1.2466
1/1/2021 10:30,1.2518
1/1/2021 10:45,1.257
1/1/2021 11:00,1.2622
1/1/2021 11:15,1.39
1/1/2021 11:30,1.5177
1/1/2021 11:45,1.6455
1/1/2021 12:00,1.7732
1/1/2021 12:15,1.7812
1/1/2021 12:30,1.7892
1/1/2021 12:45,1.7972
1/1/2021 13:00,1.8051
1/1/2021 13:15,1.7814
1/1/2021 13:30,1.7577
1/1/2021 13:45,1.7339
1/1/2021 14:00,1.7102
1/1/2021 14:15,1.6677
1/1/2021 14:30,1.6252
1/1/2021 14:45,1.5827
1/1/2021 15:00,1.5402
1/1/2021 15:15,1.5103
1/1/2021 15:30,1.4805
1/1/2021 15:45,1.4507
1/1/2021 16:00,1.4209
1/1/2021 16:15,1.4592
1/1/2021 16:30,1.4975
1/1/2021 16:45,1.5358
1/1/2021 17:00,1.574
1/1/2021 17:15,1.6569
1/1/2021 17:30,1.7397
1/1/2021 17:45,1.8225
1/1/2021 18:00,1.9054
1/1/2021 18:15,2.0546
1/1/2021 18:30,2.2039
1/1/2021 18:45,2.3532
1/1/2021 19:00,2.5024
1/1/2021 19:15,2.5381
